trait,BetaGlucan,DiastaticPower,FiftySeedWeight,FreeAminoNitrogen,GrainProtein,GrainYield,HeadingDate,MaltExtract,PlantHeight,PlumpGrain,SolubleProteinTotalProtein,TestWeight,WortProtein
AlphaAmylase,-0.375 ***,0.141 *,-0.21 ***,0.577 ***,-0.097,-0.03,0.325 ***,0.221 ***,0.052,-0.112,0.544 ***,-0.264 ***,0.469 ***
BetaGlucan,,-0.273 ***,0.371 ***,-0.543 ***,-0.128 *,0.212 ***,-0.648 ***,-0.023,-0.173 ***,0.341 ***,-0.41 ***,0.25 ***,-0.514 ***
DiastaticPower,,,-0.341 ***,0.044,0.411 ***,-0.259 ***,0.239 ***,-0.206 ***,0.16 ***,-0.2 ***,-0.148 **,0.042,0.117 *
FiftySeedWeight,,,,-0.13 *,-0.229 ***,0.344 ***,-0.6 ***,0.117 *,0.006,0.745 ***,-0.036,0.076,-0.06
FreeAminoNitrogen,,,,,0.204 ***,-0.308 ***,0.393 ***,0.122 *,0.039,-0.109,0.684 ***,-0.439 ***,0.901 ***
GrainProtein,,,,,,-0.558 ***,0.2 **,-0.446 ***,0.005,-0.261 ***,-0.388 ***,0.008,0.379 ***
GrainYield,,,,,,,-0.248 ***,0.165 **,0.034,0.351 ***,-0.001,0.274 **,-0.38 ***
HeadingDate,,,,,,,,-0.125,0.219 ***,-0.594 ***,0.195 ***,-0.193 ***,0.36 ***
MaltExtract,,,,,,,,,0.052,0.086,0.42 ***,0.007,0.003
PlantHeight,,,,,,,,,,0.007,0.061,-0.009,0.064
PlumpGrain,,,,,,,,,,,0.004,0.026,-0.065
SolubleProteinTotalProtein,,,,,,,,,,,,-0.38 ***,0.513 ***
TestWeight,,,,,,,,,,,,,-0.423 ***
