Line,Pedigree
06AB-08,Crystal/Merit
06AB-32,85Ab2323/FR96503
06MT-93,FN
06N2-02,ND18172/ND18076
06N2-14,ND18187//ND18370/ND19119-1
06N2-15,ND19012/ND19929
06N2-23,ND19130/ND19119-5
06N2-26,ND19852-1/ND20790
06N2-31,ND19854//ND20028/ND19119-1
06N2-35,ND19869-1//ND17274/ND19119
06N2-47,ND19845/C2-01-233-8-1
06N2-49,ND18172-1/ND19974//ND20040-1
06N2-51,ND20824//ND20028/ND19119-1
06N2-53,ND17274/ND19119//ND19854
06N2-54,ND17274/ND19119//ND19854
06N2-56,ND17274/ND19119//ND19854
06N2-64,MUNDA 5/ND19119-1//ND21099
06N2-67,Shenmai 3/ND19119-1//ND21099
06N2-79,ND19119-5*2/ZAU 7
06N2-81,ND19922/ND19130
06WA-38,Farmington/Jersey
06WA-39,CEV 96053/Merit
06WA-58,Farmington/Baronesse
06WA-90,Farmington/Baronesse
07AB-51,97Ab6361/95Ab11469
07AB-55,98Ab11865/Crystal
07AB-56,98Ab12044/98Ab11993
07AB-59,98Ab12044/Garnet
07AB-63,Garnet/98Ab11865
07AB-80,98Ab11865/Garnet
07AB-81,98Ab11865/Garnet
07AB-84,98Ab11993/85Ab2323
07AB-85,98Ab11993/Garnet
07AB-89,98Ab11993/Garnet
07AB-91,98Ab12210/Garnet
07AB-92,98Ab12210/Garnet
07AB-93,98Ab12210/Garnet
07BA-94,2B00-0096/2B00-0249
07MT-10,HB335/MT960228
07N2-01,ND22996//RAWSON/ND22162
07N2-14,ND21957-2/ND23024
07N2-16,ND21957-2/ND23024
07N2-17,ND21957-2/ND23024
07N2-19,ND21957-2/ND23024
07N2-20,ND21957-2/ND23024
07N2-21,ND22032-2/ND21972
07N2-23,ND22032-2/ND21972
07N2-25,ND22032-2/ND21972
07N2-28,ND22032-2/ND21972
07N2-29,ND22032-2/ND21972
07N2-36,C2-00-303-18/ND21089-3
07N2-37,C2-00-303-18/ND21089-3
